location,barcode,itemcode,scan_qty,scan_date,inspector,user_id
Northern Mariana Islands,1677907496312,4246213346157,356,10-12-21,Norine,1
Brazil,6751139825492,7236045849123,637,20-07-21,Katuscha,1
Sri Lanka,3351628661246,2103293793233,345,29-09-21,Natka,1
Burkina Faso,1458742033668,3075496330781,16,09-07-21,Jacquetta,1
Germany,5223145217032,8416715389310,497,19-07-21,Dorice,1
Pakistan,7289289669488,1877356938043,728,09-02-21,Carolina,1
Malawi,2740320078072,6650301695391,493,26-10-21,Frances,1
Paraguay,8371756028030,354166536819,472,25-08-21,Priscilla,1
Angola,800849506158,1553461801219,489,30-08-21,Ilse,1
Cocos (Keeling) Islands,117171992937,3948246646641,789,09-03-21,Lory,1
Cayman Islands,9493926047821,2943607059581,207,30-05-21,Marcelline,1
Malaysia,4751145425311,4994677950076,928,07-08-21,Jacquetta,1
Greenland,7724885863116,1869151235069,777,13-12-21,Rayna,1
Isle of Man,2821587358830,187475221409,490,16-06-21,Sandie,1
Nigeria,8499556921413,672926160299,204,31-10-21,Marcelline,1
Serbia and Montenegro,3545007211412,4764805922563,634,01-07-21,Rhea,1
Togo,5007730144506,1168525786058,959,14-03-21,Corry,1
Croatia,615680936137,150332698625,66,17-03-21,Blondelle,1
Bahamas,2178685643588,7601400487940,749,14-01-21,Morganica,1
Brazil,9707691060384,2982620692907,204,08-03-21,Sibella,1
Colombia,4585361836500,6574046522102,156,16-08-21,Tierney,1
Cocos (Keeling) Islands,6256412135795,6196619338468,32,26-10-21,Annecorinne,1
Singapore,5462774971460,7815999453965,816,22-11-21,Sara-Ann,1
Panama,4099889190455,7964890090718,389,19-01-21,Melanie,1
Argentina,6734392659471,6134147914223,148,31-12-21,Raina,1
Ukraine,7279863435147,4475350560276,441,07-05-21,Kore,1
Ethiopia,6021690608496,6270465189667,851,29-06-21,Barbi,1
Western Sahara,8179012438649,9378043250897,787,18-12-21,Hermione,1
"Virgin Islands, U.S.",8466785932550,9456788082425,381,14-03-21,Jacquetta,1
Greenland,568353008776,6379679390500,688,21-12-21,Sam,1
Algeria,646401638225,8544256435509,467,01-09-21,Korrie,1
Cyprus,6205585807565,9903495722966,393,27-10-21,Leontine,1
Armenia,6107184759944,693482765817,699,23-09-21,Cyb,1
Barbados,8875993289134,6366736096351,804,24-11-21,Keelia,1
Bangladesh,4292237684710,1980034468637,388,16-04-21,Leia,1
Singapore,7930131887876,991104972807,999,14-05-21,Anica,1
Puerto Rico,6337251543550,6603377690216,291,28-10-21,Robbi,1
Hungary,4627672581544,4369485906844,486,22-09-21,Deirdre,1
Guadeloupe,4440813217321,8154240820759,997,03-04-21,Claresta,1
"Micronesia, Federated States of",93622854990,9225948416769,15,08-08-21,Daphne,1
"Micronesia, Federated States of",7876195646033,5420090954282,288,22-11-21,Fred,1
"Micronesia, Federated States of",9740990340605,4531471856737,832,16-11-21,Ginnie,1
Madagascar,3050680983835,9372090289366,19,08-04-21,Tomasina,1
Israel,8159954402883,7598857145576,875,31-01-21,Caryl,1
Belgium,5507387435945,9237086138121,329,06-12-21,Loree,1
Cambodia,9635079286086,3166812072825,435,16-05-21,Elfreda,1
Uganda,2017031807573,1864954166346,993,10-12-21,Kirstin,1
Christmas Island,4111673309527,9894284884080,209,13-02-21,Bee,1
"Moldova, Republic of",4385871013057,569013247591,789,03-05-21,Chickie,1
"Moldova, Republic of",8089844776336,7079058796911,884,15-08-21,Vinita,1
"Tanzania, United Republic of",1509997492231,5915428777760,346,13-02-21,Sara-Ann,1
Saint Pierre and Miquelon,414620930521,9208206097694,667,29-06-21,Starla,1
Paraguay,6277408715781,1853999180952,781,31-01-21,Genovera,1
Falkland Islands (Malvinas),314901687448,9268351405635,79,17-01-21,Maurene,1
Niger,3041309616687,6207286668581,419,29-12-21,Ottilie,1
United Arab Emirates,1245688913813,6929114305667,655,14-08-21,Almeta,1
"Macedonia, The Former Yugoslav Republic of",8609062096268,577438297601,388,01-01-21,Jerry,1
Grenada,1476286927848,2890686046886,963,22-06-21,Esmeralda,1
Timor-Leste,4068246171882,5437082053428,145,10-03-21,Maurene,1
Morocco,516065498347,5284353578428,758,22-04-21,Ginnie,1
Haiti,2986771048089,6043775922759,152,25-06-21,Kial,1
Mauritius,5719250183302,5711737364836,471,31-08-21,Iseabal,1
Faroe Islands,5567771806638,2945780228637,970,06-07-21,Betta,1
Puerto Rico,9550546448601,6300041587044,216,16-04-21,Silvana,1
Croatia,264483514427,5188030879120,15,19-03-21,Merci,1
Belize,1593158862959,2977613748168,956,06-10-21,Farrah,1
Lithuania,973707032172,1591969380796,707,31-05-21,Nannie,1
Indonesia,5251327467716,3065527243647,90,03-01-21,Myriam,1
Japan,5281681895950,1652909569869,664,17-02-21,Sibella,1
Albania,5037973866881,3511962714149,259,23-02-21,Latisha,1
"Iran, Islamic Republic Of",7420022630250,3057068139124,217,10-06-21,Mureil,1
Morocco,872794626710,134727432543,224,03-07-21,Arlina,1
Ecuador,4290886526801,709936910661,325,28-04-21,Britte,1
Benin,2371642332745,6870442084066,954,02-08-21,Adore,1
"Iran, Islamic Republic Of",1149386140935,7394944188592,595,08-11-21,Dorothy,1
"Virgin Islands, U.S.",1404498693750,1250923841220,640,29-11-21,Hettie,1
Egypt,8824614736158,227038445151,152,27-08-21,Clarice,1
Yemen,5444265390602,8943549961791,369,15-03-21,Gui,1
Reunion,2320413306413,509344983298,942,01-12-21,Kittie,1
Zimbabwe,1962545949325,8361662755289,190,04-07-21,Ethel,1
AndorrA,6762453396765,4672759618531,257,03-01-21,Doro,1
Guernsey,8018548355351,2623461263398,497,15-12-21,Coral,1
Afghanistan,7099376281680,3115074609942,817,06-02-21,Louella,1
Egypt,7081500467556,2834853825710,638,15-09-21,Inga,1
India,7321983891719,4157551206228,683,30-06-21,Oona,1
Christmas Island,5209892805810,5592413219268,131,15-06-21,Marjie,1
Angola,7796409120622,6491111994637,825,08-12-21,Adelle,1
Argentina,6181169932146,3131752931755,231,14-06-21,Merry,1
Russian Federation,7478707246509,4584192595444,162,18-05-21,Jenilee,1
Bermuda,5952760423619,39977435241,812,20-10-21,Margalo,1
Lithuania,7971325238152,1333812975741,933,28-02-21,Dari,1
Jamaica,4360459626816,4324837266527,499,23-06-21,Libbie,1
Turkey,6974257585893,2475437394487,985,29-12-21,Jenilee,1
United States Minor Outlying Islands,9386695351099,804503068035,798,13-08-21,Eugine,1
Czech Republic,6762961844261,7414261310237,940,08-04-21,Leontine,1
Iceland,3173291824205,6478331823211,223,29-05-21,Steffane,1
Uganda,9975492817997,8908386188300,376,13-03-21,Hyacinthe,1
Mongolia,9906297809660,5530197512967,673,23-05-21,Sharai,1
Trinidad and Tobago,9941675506037,9980614072650,335,12-11-21,Kristan,1
Mongolia,7655510824720,5273326476440,378,10-08-21,Marylou,1
Falkland Islands (Malvinas),4057448740720,7818511605656,162,16-06-21,Emma,1
Italy,8957444342433,2635005522720,972,22-06-21,June,1
Kuwait,1955282098910,3734326466803,818,05-11-21,Georgetta,1
Guernsey,4598551807059,8825174316602,843,08-10-21,Genevra,1
Mali,9960848681472,4652256985810,30,08-05-21,Nickie,1
Togo,2062353076501,2517049987457,835,11-08-21,Wendi,1
"Moldova, Republic of",9698969096988,6236352847360,678,16-04-21,Lauryn,1
Papua New Guinea,2707532653333,7824163732021,149,28-10-21,Susette,1
Sweden,7923403243738,1712488209701,940,05-11-21,Gwyneth,1
Afghanistan,3628746173008,8687983166275,318,20-02-21,Winny,1
"Taiwan, Province of China",9970150962257,8087953248912,885,24-11-21,Minda,1
Faroe Islands,6977032289810,2062128557418,177,22-01-21,Emelina,1
Qatar,5727162397535,6132188685778,489,22-02-21,Aurelie,1
Aruba,4785533587327,5685005067364,445,28-11-21,Laurene,1
New Caledonia,6483669250821,8278950256314,594,12-02-21,Althea,1
Antigua and Barbuda,5851262877895,5424835787793,184,29-04-21,Wynne,1
Anguilla,8478056636567,9083587183276,106,20-05-21,Hettie,1
Azerbaijan,2818902567308,795150160286,107,22-09-21,Alexine,1
"Iran, Islamic Republic Of",9320615117988,6159268733192,908,12-05-21,Gisela,1
Japan,5461475806062,2718310048331,162,16-06-21,Myrtice,1
Armenia,9122788797905,6629768967233,745,29-08-21,Lynea,1
Lebanon,1949365609782,5715396569622,242,13-05-21,Kaia,1
Zimbabwe,557198448255,3465132309768,696,07-09-21,Fawne,1
Yemen,9416934864989,7887551513860,730,10-02-21,Estell,1
Tokelau,2077275876442,9290105391210,920,26-06-21,Binny,1
Peru,5034366451683,7656133136834,305,08-08-21,Jerry,1
Qatar,3316782933737,817166543754,836,15-02-21,Cissiee,1
Croatia,8565549098068,5715636539128,614,22-09-21,Antonietta,1
"Iran, Islamic Republic Of",2329694944615,4210330527157,404,18-08-21,Ekaterina,1
Haiti,5341130333510,9187368163241,762,28-10-21,Ayn,1
Oman,3240773533377,6413442324042,363,17-01-21,Gerianna,1
Comoros,7254385112656,7747002004307,886,11-09-21,Mignon,1
Brunei Darussalam,2701672236195,2884345680378,36,14-07-21,Frances,1
Gabon,5317823430786,269352044991,307,30-08-21,Raquela,1
New Caledonia,1903291024609,5093867860135,422,10-09-21,Aigneis,1
Palau,355593739533,6201578640773,356,29-09-21,Eve,1
Spain,1396740593368,6905404657814,308,06-11-21,Paola,1
Nauru,9927707320177,7533144509847,851,23-05-21,Emilia,1
Algeria,8919564400828,4637184821008,891,05-04-21,Caryl,1
Antarctica,6909509298170,6054827137931,673,11-01-21,Glynnis,1
Congo,4419526861095,9080574129673,555,26-05-21,Genovera,1
"Cote D""Ivoire",5610998270806,1253651400640,743,06-11-21,Kaja,1
"Tanzania, United Republic of",8657135212766,2283673321084,252,25-07-21,Bertine,1
"Macedonia, The Former Yugoslav Republic of",3384740748944,6998647963171,558,02-06-21,Goldie,1
Djibouti,2067164855281,9630818349018,395,06-05-21,Kristina,1
"Tanzania, United Republic of",3361200367510,2190143537034,334,26-07-21,Sashenka,1
Oman,6632283368788,5598806786626,649,11-03-21,Neila,1
Tuvalu,879484054987,3272707057236,189,20-05-21,Agnese,1
Kiribati,5288409508902,1726792843542,469,15-10-21,Abbie,1
Saint Kitts and Nevis,7139533205807,5060340126575,410,11-01-21,Jany,1
Colombia,1299619463029,5414738177805,760,02-01-21,Zsa Zsa,1
Guinea-Bissau,4973787719693,8506031959687,862,16-04-21,Kalina,1
Djibouti,8138580912909,7233093190954,491,09-08-21,Minda,1
Slovakia,3816203599003,1624661118550,936,01-02-21,Joeann,1
Netherlands Antilles,6532079015263,9123001009402,241,26-05-21,Ileana,1
Belize,7688947423279,6341727535,96,06-05-21,Lilith,1
"Moldova, Republic of",7406977343519,8013813376234,304,05-03-21,Madeleine,1
Norfolk Island,2573284489734,1634449673449,358,10-04-21,Angela,1
China,3009590589423,4741740353900,853,12-04-21,Daryl,1
Turkmenistan,5484428934534,9915554055752,850,11-07-21,Elora,1
"Taiwan, Province of China",6797313947523,3857686605710,552,10-09-21,Felice,1
Malta,9209793252250,5066814292650,19,06-08-21,Esmeralda,1
Lithuania,3115816989050,1982742519119,438,29-08-21,Lorenza,1
Niger,8241666043565,855862357022,797,25-03-21,Catrina,1
Papua New Guinea,3431800195375,8647448089384,386,09-04-21,Augustine,1
AndorrA,1353537534429,8593610506551,550,23-12-21,Cassondra,1
"Congo, The Democratic Republic of the",4200257458695,7188548924021,483,02-07-21,Sabina,1
Israel,6691105949702,6776402546634,616,01-06-21,Karlee,1
South Georgia and the South Sandwich Islands,3325314746059,3021447418398,157,21-10-21,Amara,1
Cuba,8451051400502,215198878883,382,24-02-21,Briney,1
Chile,7882105785989,984892832465,463,02-11-21,Zondra,1
China,7188861703939,8889760327901,664,28-05-21,Aaren,1
